# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "gene" "-g" "gene_id" "-O" "-s" "2" "-J" "-R" "BAM" "-M" "--fraction" "-G" "data/00ref/MG1655.fna" "-T" "16" "-a" "data/00ref/MG1655_LF82_RS00415.gtf" "-o" "results/05counts/read_counts" "results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam" "results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	results/03map_reads/SRR22989389.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989391.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989390.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989392.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989396.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989394.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989398.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989395.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989399.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989400.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989397.Aligned.sortedByCoord.out.bam	results/03map_reads/SRR22989393.Aligned.sortedByCoord.out.bam
b0045	NC_000913.3	45807	47138	+	1332	46.99	32.06	41.31	57.31	60.30	70.07	85.79	71.97	64.68	88.78	92.87	92.02
b0046	NC_000913.3	47246	47776	+	531	36.52	21.25	22.53	31.00	39.65	34.16	58.64	52.08	39.34	48.02	74.88	51.79
b0047	NC_000913.3	47769	49631	+	1863	63.56	28.62	54.41	30.41	78.31	30.21	36.09	81.57	52.50	48.78	130.06	37.25
b0048	NC_000913.3	49823	50302	+	480	210.36	122.12	162.83	227.60	208.72	244.44	307.31	192.93	263.51	270.67	297.89	337.67
b0049	NC_000913.3	50380	51222	-	843	162.26	51.43	93.27	133.40	121.30	134.68	158.52	144.87	185.39	173.19	204.58	172.23
b0050	NC_000913.3	51229	51606	-	378	609.74	318.50	620	522.89	405.83	530.12	458.89	483.80	540.95	567.76	703.15	751.77
b0051	NC_000913.3	51609	52430	-	822	431.10	212.42	375.85	429.15	406.60	422.03	549.42	390.81	564.45	539.41	605.63	651.60
b0052	NC_000913.3	52427	53416	-	990	656.52	293.78	410.01	519.75	454.83	584.23	601.06	488.49	649.22	652.78	694.39	774.62
b0053	NC_000913.3	53416	54702	-	1287	1065.30	530.37	879.31	1118.48	1050.97	1187.60	1425.83	1063.97	1550.48	1568.70	1522.33	1706.38
b0054	NC_000913.3	54755	57109	-	2355	1049.66	493.83	811.77	1183.35	1153.06	1269.03	1850.08	1207.10	1744.71	1897.28	1733.86	1879.84
b0055	NC_000913.3	57364	58179	+	816	73.02	40.13	54.29	76.69	98.83	85.54	112.32	103.14	123.95	142.05	177.49	115.21
b0056	NC_000913.3	58474	59124	+	651	69.88	28.67	47.03	52.50	78.12	50.25	70.42	83.56	76.07	81.93	130.82	128.86
b0057	NC_000913.3	59121	59279	+	159	42.25	36.38	50.67	26	55.01	35.20	48.67	80.07	48.93	71.67	106.67	64.62
b0058	NC_000913.3	59687	60346	-	660	173.40	95.12	147.50	180.04	216.58	256.98	358.60	205.92	329.71	404.20	268.33	290.12
b0059	NC_000913.3	60358	63264	-	2907	712.45	323.02	537.81	724.99	860.16	832.56	1940.05	919.73	1801.76	1893.33	1389.74	1028.95
b0060	NC_000913.3	63429	65780	-	2352	92.22	47.54	75.98	73.52	110.27	84.97	158.73	120.05	163.71	156.10	209.42	119.82
b0061	NC_000913.3	65855	66550	-	696	2.06	2.17	5.43	1.40	6.83	5.56	7.98	9.20	6.57	2.63	9.17	8.92
b0062	NC_000913.3	66835	68337	-	1503	20.38	9.63	13.71	18.88	12.79	14.60	16.16	26.34	35.73	20.54	29.52	28.63
b0063	NC_000913.3	68348	70048	-	1701	3.78	4.25	4.14	10.36	10.75	6.40	13.11	17.09	7.01	8.22	18.14	3.46
b0064	NC_000913.3	70387	71265	+	879	10.17	6	6.40	7.97	20.98	14.00	22.22	20.28	23.56	19.34	29.23	27.36
b0065	NC_000913.3	71351	72115	+	765	80.44	57.65	74.19	51.89	86.77	50.56	83.92	91.68	77.50	79.02	127.25	63.53
b0066	NC_000913.3	72229	72927	-	699	76.70	35.79	50.88	46	64.11	64.43	76.33	62.43	80.76	68.64	95.72	78.64
b0067	NC_000913.3	72911	74521	-	1611	177.48	103.59	115.37	131.67	125.55	151.71	182.32	146.92	187.25	177.71	202.50	224.46
b0068	NC_000913.3	74497	75480	-	984	208.96	94.45	158.33	147.27	165.11	168.38	222.72	175.36	220.80	227.57	248.37	208.69
b4762	NC_000913.3	75516	75608	-	93	81.42	37	55.70	74.88	212.75	68	223.58	279.33	310.50	260.27	317.67	174.90
b0069	NC_000913.3	75644	77299	-	1656	136.45	80.03	102.44	118.19	114.67	113.84	127.58	156.17	126.78	164.67	151.29	156.57
b4577	NC_000913.3	77367	77593	+	227	34.70	8.50	29.12	17	23.73	22.14	26.70	22.10	18.89	31.66	30.93	30.64
b4662	NC_000913.3	77388	77519	+	132	2.50	1.50	0.56	2	6.08	3.04	3.50	4	3.55	1.50	4.50	5.75
b0070	NC_000913.3	77621	78799	+	1179	20.55	13.89	15.37	32.73	47.74	27.18	60.59	64.69	49.89	53.93	69.80	50.53
b0071	NC_000913.3	78848	79453	-	606	8.50	4.20	14.89	26.08	18	31.44	24.42	15.43	127.33	27.81	29.25	43.00
b0072	NC_000913.3	79464	80864	-	1401	213.52	206.27	277.44	287.44	166.70	369.88	175.55	249.22	123.94	221.54	212.32	843.28
b0073	NC_000913.3	80867	81958	-	1092	13.86	1.85	7.16	21.00	21.97	18.36	18.46	14.25	25.79	31.43	28.36	45.27
b0074	NC_000913.3	81958	83529	-	1572	21.60	11.96	18.98	33.28	35.02	47.67	38.67	29.62	46.56	44.77	49.91	60.47
b0075	NC_000913.3	83622	83708	-	87	25	19	24.20	29	40	43	47	40	44	63	62	55.75
b0076	NC_000913.3	84368	85312	+	945	4.97	3.27	4.79	6.38	6.41	10.18	10.45	10.32	8.29	9.40	10.10	15.54
b4726	NC_000913.3	85467	85511	-	45	1.25	0	0	1	1	0	1	0.05	0.50	0.75	1	0.50
b0077	NC_000913.3	85630	87354	+	1725	118.86	71.72	116.26	73.86	89.16	73.47	67.49	112.16	58.93	74.30	128.28	115.68
b0078	NC_000913.3	87357	87848	+	492	17.58	17.18	10.10	13.60	22.40	8.50	5.22	13.50	8.25	8	23.25	27.32
LF82_RS00415	NC_000913.3	87860	87946	+	87	4.50	1.50	3.50	1.25	10.50	4	9.08	13.50	8.20	4	7	2.70
b0080	NC_000913.3	88028	89032	+	1005	144.02	86.38	119.69	194.55	243.41	212.45	238.26	265.17	264.32	281.66	357.88	335.78
b0081	NC_000913.3	89634	90092	+	459	221.48	120.90	169.57	259.90	319.25	278.35	502.57	385	490.67	522.42	477.51	377.01
b0082	NC_000913.3	90094	91035	+	942	324.79	171.96	239.81	438.10	558.88	459.33	850.22	518.88	813.21	843.32	762.08	658.25
b0083	NC_000913.3	91032	91397	+	366	398.61	196.07	309.87	420.08	359.51	414.17	546.06	357.41	495.54	476.54	560.98	549.21
b0084	NC_000913.3	91413	93179	+	1767	602.90	352.16	452.51	643.79	802.26	706.14	1083.17	887.94	1189.43	1134.22	1270.96	1080.40
b4810	NC_000913.3	92485	92658	+	174	384.94	192.89	270	374.16	365.05	381.02	433.70	394.69	497.11	450.53	593.16	549.53
b0085	NC_000913.3	93166	94653	+	1488	315.76	219.49	292.05	417.25	612.47	499.81	914.84	651.86	956.52	1027.61	862.57	719.00
b0086	NC_000913.3	94650	96008	+	1359	302.83	113.28	235.23	267.69	495.92	343.28	707.34	450.04	756.69	666.67	675.35	524.36
b0087	NC_000913.3	96002	97084	+	1083	185.98	95.86	127.82	227.30	294.86	202.00	488.17	332.54	417.85	460.64	484.75	311.58
b0088	NC_000913.3	97087	98403	+	1317	302.65	167.25	217.47	363.86	435.89	381.38	698.19	485.68	601.61	697.13	622.60	497.65
b0089	NC_000913.3	98403	99647	+	1245	166.26	115.94	147.38	220.30	276.87	219.53	476.00	292.16	423.11	388.32	462.81	284.70
b0090	NC_000913.3	99644	100711	+	1068	176.54	93.73	146.78	225.17	282.46	262.05	367.42	297.60	315.76	425.62	407.00	341.44
b0091	NC_000913.3	100765	102240	+	1476	308.36	143.65	231.08	318.62	475.96	379.60	597.50	455.25	587.34	604.10	619.96	582.71
b0092	NC_000913.3	102233	103153	+	921	333.88	174.17	272.86	352.11	443.60	365.02	598.69	449.08	542.13	651.34	653.88	562.05
b0093	NC_000913.3	103155	103985	+	831	304.39	168.89	251.40	292.08	435.52	332.91	562.42	496.51	515.36	573.76	643.15	489.45
b0094	NC_000913.3	103982	105244	+	1263	525.70	279.74	408.70	592.76	881.24	643.38	993.36	838.72	863.92	932.13	1252.92	873.85
b0095	NC_000913.3	105305	106456	+	1152	689.76	387.28	640.14	859.79	1094.19	884.62	1240.24	1079.64	1154.21	1246.89	1465.77	1295.79
b0096	NC_000913.3	106557	107474	+	918	2581.69	1277.49	1913.43	2742.46	2567.40	2963.88	3800.55	2884.25	3338.77	3584.17	3605.86	4340.86
b0097	NC_000913.3	107705	108217	+	513	426.17	196.06	280.68	437.96	480.41	466.74	895.42	512.73	892.40	777.41	719.74	606.51
b0098	NC_000913.3	108279	110984	+	2706	2348.82	1285.56	1903.53	2464.04	2077.42	2600.75	3398.47	2335.35	8796.96	3426.96	3259.05	3539.89
b0099	NC_000913.3	111044	111433	+	390	30.22	24.69	28.83	43.01	18.06	45.34	42.15	20.66	37.43	42.46	41.59	50.70
b0101	NC_000913.3	111649	111846	-	198	45.08	18.80	34.66	35.87	77.32	48	92.20	88.23	89.74	89.10	112.07	61.47
b0102	NC_000913.3	111856	112599	-	744	85.75	40.03	63.67	104.42	242.95	95.70	242.41	176.22	254	251.07	247.58	134.45
b0103	NC_000913.3	112599	113219	-	621	89.45	27.83	34.26	61.51	120.50	55.62	203.27	130.59	209.22	182.65	230.13	111.53
b4727	NC_000913.3	113244	113288	+	45	3	0	0	0.50	0	0.25	0	0	0	0	2	1
b0104	NC_000913.3	113444	114487	+	1044	976.03	370.66	547.09	472.10	1165.15	666.46	809.42	1235.73	808.54	777.56	1687.11	688.03
b0106	NC_000913.3	114522	115724	-	1203	22.77	8.56	13.93	19.99	13.33	17.73	15.57	10.91	32.70	14.30	25.89	22.53
b0107	NC_000913.3	115714	117099	-	1386	24.97	14.68	17.98	16.45	25.48	18.06	28.40	32.30	24.00	35.67	35.57	28.05
b0108	NC_000913.3	117109	117549	-	441	3.58	3.17	5.33	2.42	6	4.50	10.75	8	8.86	4.24	15.05	9.09
b0109	NC_000913.3	117752	118645	-	894	183.69	106.24	154.83	205.71	188.03	288.38	236.95	202.53	223.94	249.98	229.89	303.73
b0110	NC_000913.3	118733	119284	+	552	13.75	10.33	17.92	46.35	19.54	58.81	47.94	16.45	41.71	45.51	44.10	63.36
b0111	NC_000913.3	119281	120135	+	855	15.49	15.45	25.46	77.99	23.93	79.33	52.22	33.42	60.64	71.23	37.37	120.96
b0112	NC_000913.3	120178	121551	-	1374	180.90	107.21	133.71	68.72	232.14	63.27	131.32	279.73	136.88	162.95	443.11	90.10
b0113	NC_000913.3	122092	122856	+	765	1173.71	485.85	717.28	1257.42	2152.54	1521.85	3334.59	2222.62	3657.01	3559.60	3417.72	1845.88
b0114	NC_000913.3	123017	125680	+	2664	10451.70	4680.54	7760.64	14477.59	20811.65	15311.52	33018.67	21714.31	29433.79	30996.10	30031.43	22655.58
b0115	NC_000913.3	125695	127587	+	1893	9723.62	4105.73	7067.24	12414.86	19019.01	14337.78	28840.69	17861.87	26665.26	31018.93	26917.56	19354.03
b0116	NC_000913.3	127912	129336	+	1425	5055.93	2375.44	3945.67	6814.81	7956.53	7342.40	11633.24	8010.97	10659.60	11611.75	10921.91	9937.37
b0117	NC_000913.3	129407	131260	-	1854	9.30	9.23	12.95	8.42	11.98	8.82	6.23	14.43	10.72	15.97	10.64	13.83
b0118	NC_000913.3	131615	134212	+	2598	2339.49	1051.32	1581.18	2638.53	1354.67	2993.70	1645.68	1455.55	1647.79	1773.57	2101.52	4382.19
b0119	NC_000913.3	134388	134750	+	363	221.53	125.04	190	84.75	276.31	89.13	101.52	245.07	118.38	149.25	372.68	153.10
b0120	NC_000913.3	134788	135582	-	795	2141.27	948.52	1526.76	1002.79	1679.87	1058.21	1326.94	1751.36	1293.38	1334.69	2873.94	1369.95
b0121	NC_000913.3	135598	136464	-	867	794.25	433.82	635.56	441.21	764.21	513.42	588.16	809.62	585.13	589.07	1095.09	779.80
b0122	NC_000913.3	136570	136917	-	348	40.48	26.75	38.07	105.25	45.50	129.10	146.75	63	156.75	131.61	76.10	174.67
b0123	NC_000913.3	137083	138633	+	1551	67.65	23.54	35.12	21.69	51.00	25.69	52.00	61.43	37.37	103.86	93.15	41.25
b0124	NC_000913.3	138835	141225	-	2391	1660.36	879.42	1267.69	820.76	498.00	946.22	384.73	491.36	462.90	453.39	799.81	1418.62
b0125	NC_000913.3	141431	141967	+	537	579.88	302.64	415.74	544.17	915.60	761.07	941.09	904.81	892.02	1267.55	1115.20	726.15
b0126	NC_000913.3	142008	142670	-	663	459.16	222.35	356.86	798.10	379.77	813.92	781.53	364.11	898.45	948.50	646.35	1150.34
b0127	NC_000913.3	142779	143705	+	927	225.84	109.31	171.34	183.84	219.42	186.70	225.64	226.40	191.62	235.46	244.88	312.39
b0128	NC_000913.3	143702	144472	+	771	161.16	102.68	150.76	191.09	104.36	135.01	134.59	125.59	108.94	123.29	179.70	223.35
b0129	NC_000913.3	144577	145017	+	441	32.35	15.39	23.61	22.68	37.48	32.61	36.82	29.84	21.81	34.90	72.09	63.04
b0130	NC_000913.3	145081	146310	+	1230	42.08	31.33	36.70	35.43	85.62	40.21	96.84	75.33	111.47	98.71	129.36	56.27
b0131	NC_000913.3	146314	146694	-	381	412.45	198.35	286	260.33	497.53	301.35	463.90	645.80	431.50	425.56	723.17	447.08
b0132	NC_000913.3	146968	147870	+	903	26.59	18.33	35.41	39.08	21.40	27.50	27.97	35.96	24.78	37.10	52.45	33.09
b0133	NC_000913.3	147944	148795	-	852	844.13	356.42	522.77	307.25	602.35	426.53	492.12	642.74	515.23	511.15	1042.50	570.18
b0134	NC_000913.3	148807	149601	-	795	422.63	231.03	325.62	182.04	335.92	171.14	300.23	395.31	280.26	307.60	571.76	266.43
b0135	NC_000913.3	149715	150953	-	1239	5.99	3.62	6.05	7.12	16.14	4.52	20.30	24.03	29.92	20.02	26.20	15.64
b0136	NC_000913.3	151003	151599	-	597	2.26	2.94	3.91	2.42	8.83	4.74	10.07	10.89	7.79	6.67	13.96	7.57
b0137	NC_000913.3	151626	152231	-	606	4.30	0.25	0.96	2	5.33	6.85	5.83	6.46	5.79	10.03	8.75	6.09
b0138	NC_000913.3	152243	152812	-	570	3.56	1.50	1	1.96	4.81	4.47	8.61	7.03	7.80	3.66	7.95	2.47
b0139	NC_000913.3	152829	155426	-	2598	13.16	8.25	12.70	7.82	24.30	19.04	20.85	22.25	25.79	26.19	32.27	22.76
b0140	NC_000913.3	155461	156201	-	741	5.52	4.10	4.61	2.27	2.43	4.45	6.33	1.45	4.46	6.85	9.25	3.69
b0141	NC_000913.3	156299	156883	-	585	6.12	4.39	7.45	6.21	10.36	2.29	7.42	8.81	10.95	10.87	7.02	9.95
b0142	NC_000913.3	157253	157732	-	480	388.88	194.58	267.85	264.52	492	267.09	555.89	514.57	558.26	562.42	817.97	346.81
b0143	NC_000913.3	157729	159126	-	1398	915.18	443.57	738.43	672.82	1091.08	733.60	1284.12	1158.89	1260.96	1199.44	1639.37	1080.16
b0144	NC_000913.3	159186	160112	-	927	863.86	305.46	493.12	629.17	619.12	698.10	813.92	835.60	997.36	947.77	1076.63	991.27
b0145	NC_000913.3	160149	160604	-	456	1139.37	630.29	814.98	1252.82	1283.80	1240.68	1844.83	1288.77	1834.74	1861.93	1868.22	1570.70
b0146	NC_000913.3	160782	161486	-	705	144.37	68.82	91.85	109.46	137.02	113	146.24	145.78	135.29	137.85	197.66	164.34
b0147	NC_000913.3	161501	162031	-	531	27.72	11	9.33	22.02	30.17	27.01	71.08	54.58	63.22	56.42	61.33	43.02
b0148	NC_000913.3	162105	164534	+	2430	126.71	79.20	109.77	138.31	223.37	118.59	277.92	258.15	259.19	275.21	320.48	200.80
b0149	NC_000913.3	164730	167264	+	2535	469.76	222.56	385.91	307.15	680.14	309.26	649.91	669.92	589.61	627.67	957.63	521.60
b0150	NC_000913.3	167484	169727	+	2244	773.65	372.52	564.97	464.82	434.36	523.64	702.60	507.59	632.69	648.59	718.85	681.34
b0151	NC_000913.3	169778	170575	+	798	121.00	58.07	64.25	67.25	51.64	70.30	111.17	76.21	82.06	82.67	93.49	105.55
b0152	NC_000913.3	170575	171465	+	891	58.14	28.87	47.07	30.27	37.31	28.39	43.67	39.43	43.05	44.44	53.87	54.76
b0153	NC_000913.3	171462	173444	+	1983	168.08	75.15	111.10	74.81	92.12	104.56	119.02	89.70	131.88	112.93	122.33	126.11
b0154	NC_000913.3	173602	174882	-	1281	326.53	170.78	275.30	436.66	493.52	414.56	871.85	467.76	787.25	866.43	786.59	596.03
b4765	NC_000913.3	175048	175095	+	48	3.61	2.50	4	1.62	5	6.50	1.50	4	6	6.50	4	7.50
b0155	NC_000913.3	175107	176528	+	1422	88.03	51.86	86.82	129.21	117.35	96.39	161.51	164.50	166.19	179.04	199.10	198.48
b4728	NC_000913.3	176552	176617	+	66	13	13.70	11	11.62	18	14	22	27.17	15.34	26	22	25.96
b0156	NC_000913.3	176610	176954	+	345	431.15	143.03	321.49	469.81	455.95	500.27	653.84	383.72	604.67	1232.15	716.13	718.10
b0157	NC_000913.3	177001	177624	-	624	139.38	91.62	136.13	131.60	152.07	150.08	186.97	183.81	179.24	233.59	291.06	212.30
b0158	NC_000913.3	177662	178462	-	801	235.14	127.55	135.17	153.19	193.07	187.67	232.06	265.32	255.64	217.29	330.23	220.63
b0159	NC_000913.3	178455	179153	-	699	498.90	245.12	341.03	444.30	541.19	446.60	654.07	634.49	631.94	637.46	777.17	583.53
b0160	NC_000913.3	179237	180754	+	1518	96.16	67.64	81.75	129.70	102.59	136.57	111.21	110.80	117.23	140.44	148.10	205.68
b0161	NC_000913.3	180884	182308	+	1425	393.68	164.92	238.65	207.35	398.78	208.90	322.47	426.24	306.27	327.61	539.28	312.31
b0162	NC_000913.3	182463	183620	+	1158	25.79	17.03	34.13	22.34	25.81	18.19	20.69	29.19	22.27	25.41	40.28	36.79
b0163	NC_000913.3	183709	184095	-	387	106.23	70.79	95.50	112.06	155.72	113.68	190.71	141.53	188.11	174.69	210.80	164.19
